First,Last,Nickname,Height,Weight,Reach,Stance,Wins,Loss,Draw
Tom,Aaron,NULL,0,155,NULL,NULL,5,3,0
Danny,Abbadi,The Assassin,71,155,NULL,Orthodox,4,6,0
Nariman,Abbasov,Bayraktar,68,155,66,Orthodox,28,4,0
David,Abbott,Tank,72,265,NULL,Switch,10,15,0
Hamdy,Abdelwahab,The Hammer,74,264,72,Southpaw,6,0,0
Shamil,Abdurakhimov,Abrek,75,235,76,Orthodox,20,7,0
Hiroyuki,Abe,Abe Ani,66,145,NULL,Orthodox,8,15,3
Daichi,Abe,NULL,71,170,71,Orthodox,6,2,0
Papy,Abedi,Makambo,71,185,NULL,Southpaw,10,4,0
Ricardo,Abreu,Demente,71,185,NULL,Orthodox,5,1,0
Klidson,Abreu,White Bear,72,205,74,Orthodox,15,4,0
Daniel,Acacio,NULL,68,180,NULL,Orthodox,30,18,0
John,Adajar,The Outlaw,69,170,75,Orthodox,6,2,0
Scott,Adams,NULL,72,225,NULL,Southpaw,8,1,0
Juan,Adams,The Kraken,77,265,80,Orthodox,5,3,0
Anthony,Adams,Sugafoot,73,185,76,Orthodox,8,2,0
Zarrukh,Adashev,The Lion,65,125,65,Southpaw,4,4,0
Israel,Adesanya,The Last Stylebender,76,185,80,Switch,23,2,0
Sam,Adkins,The Experience,75,225,NULL,Orthodox,7,20,2
Nick,Agallar,NULL,68,155,NULL,Orthodox,24,6,0
Mariya,Agapova,Demonslayer,66,125,68,Southpaw,10,4,0
Marcelo,Aguiar,NULL,70,170,NULL,Orthodox,2,3,1
Fabio,Aguiar,NULL,72,185,NULL,NULL,17,1,0
Edwin,Aguilar,Tigre,70,185,NULL,NULL,26,19,0
Jessica,Aguilar,Jag,63,115,63,Orthodox,20,8,0
Kevin,Aguilar,Angel of Death,67,155,73,Orthodox,17,5,0
Jesus,Aguilar,NULL,64,125,62,Orthodox,8,1,0
Christian,Aguilera,The Beast,69,170,72,Switch,14,8,0
Mike,Aina,Iron,69,155,NULL,Orthodox,14,6,1
Ashiek,Ajim,Peak Physique,68,135,71,Switch,6,2,0
Hitomi,Akano,Girlfight Monster,64,135,NULL,Southpaw,18,10,0
Omari,Akhmedov,Wolverine,72,185,73,Orthodox,21,6,1
Yoshihiro,Akiyama,NULL,70,170,75,Orthodox,14,6,0
Rostem,Akman,NULL,70,170,72,Switch,6,2,0
